Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
9802,US-2019-156909,16/07/2019,18/07/2019,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140.0,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",81.02
9832,US-2019-124303,06/07/2019,13/07/2019,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.65
9833,US-2019-124303,06/07/2019,13/07/2019,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",13.96
9867,CA-2019-134306,08/07/2019,12/07/2019,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.75
9868,CA-2019-134306,08/07/2019,12/07/2019,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,26.79
9869,CA-2019-134306,08/07/2019,12/07/2019,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852.0,East,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",11.31
9945,CA-2019-118640,20/07/2019,26/07/2019,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Chicago,Illinois,60610.0,Central,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",65.21
9946,CA-2019-118640,20/07/2019,26/07/2019,Standard Class,CS-11950,Carlos Soltero,Consumer,United States,Chicago,Illinois,60610.0,Central,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14"", Brown",7.57
9965,CA-2019-167913,30/07/2019,03/08/2019,Second Class,JL-15835,John Lee,Consumer,United States,Mission Viejo,California,92691.0,West,OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files,289.79
9966,CA-2019-167913,30/07/2019,03/08/2019,Second Class,JL-15835,John Lee,Consumer,United States,Mission Viejo,California,92691.0,West,OFF-LA-10002787,Office Supplies,Labels,Avery 480,28.89
9968,US-2019-127719,21/07/2019,25/07/2019,Standard Class,TW-21025,Tamara Willingham,Home Office,United States,Plainfield,New Jersey,7060.0,East,OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,5.87
